"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-02","    4","0.14",,
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-03",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-04",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-05",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-06",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-07",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-08",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-09",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-10",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-11",,,"0.01",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-12",,,"0.16",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-13",,,"0.01",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-14",,,"0.08",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-15",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-16",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-17",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-18",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-19",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-20",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-21",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-22",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-23",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-28",,,"0.03",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-29",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-30",,,"0.36",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-01-31",,,"0.24",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-01",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-02",,,"0.01",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-03",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-04",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-05",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-06",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-07",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-08",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-09",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-10",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-11",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-12",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-13",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-14",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-15",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-16",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-17",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-18",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-19",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-20",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-21",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-22",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-23",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-24",,,"0.07",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-25",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-26",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-02-27",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-01",,,"0.00",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-02",,,"0.03",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-03",,,"0.48",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-04",,,"0.01",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-05",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-06",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-07",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-08",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-09",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-10",,,"0.00","0.0"
